SMILES
C#CC(N)c1ccccc1
NCC1CC#CCCC1
C#CCC(N)c1ccccc1
O=C(O)c2cccc(Oc1ccccc1)c2
O=C(O)CC1CCC(C(F)(F)F)CC1
O=C(O)C2CCN(c1ccccc1)C2
N=[N+]=NCC1CCCC1
N=[N+]=NCc1ccccc1
N=[N+]=NCC1CCCCCC1
