amides
CC(C)Cn1c(SCC(=O)N2(C(=O)OC(C)(C)C)CCC(CC3(C(N)=O)CCCN3)CC2)nc2c1c(=O)[nH]c(=O)n2C
CC(C)Cn1c(SCC(=O)NC(=O)C2(CC3CCN(C(=O)OC(C)(C)C)CC3)CCCN2)nc2c1c(=O)[nH]c(=O)n2C
CC(C)Cn1c(SCC(=O)N2CCCC2(CC2CCN(C(=O)OC(C)(C)C)CC2)C(N)=O)nc2c1c(=O)[nH]c(=O)n2C
CC(C)Cn1c(SCC(=O)Nc2nccc(C3CCCNC3)n2)nc2c1c(=O)[nH]c(=O)n2C
CC(C)Cn1c(SCC(=O)N2CCCC(c3ccnc(N)n3)C2)nc2c1c(=O)[nH]c(=O)n2C
CC(C)Cn1c(SCC(=O)N2(C(=O)OC(C)(C)C)CCCCC2c2cc(N)[nH]n2)nc2c1c(=O)[nH]c(=O)n2C
CC(C)Cn1c(SCC(=O)Nc2cc(C3CCCCN3C(=O)OC(C)(C)C)n[nH]2)nc2c1c(=O)[nH]c(=O)n2C
CCOC(=O)c1[nH]c(C)c(C(=O)N2(C(=O)OC(C)(C)C)CCC(CC3(C(N)=O)CCCN3)CC2)c1C
CCOC(=O)c1[nH]c(C)c(C(=O)NC(=O)C2(CC3CCN(C(=O)OC(C)(C)C)CC3)CCCN2)c1C
CCOC(=O)c1[nH]c(C)c(C(=O)N2CCCC2(CC2CCN(C(=O)OC(C)(C)C)CC2)C(N)=O)c1C
CCOC(=O)c1[nH]c(C)c(C(=O)Nc2nccc(C3CCCNC3)n2)c1C
CCOC(=O)c1[nH]c(C)c(C(=O)N2CCCC(c3ccnc(N)n3)C2)c1C
CCOC(=O)c1[nH]c(C)c(C(=O)N2(C(=O)OC(C)(C)C)CCCCC2c2cc(N)[nH]n2)c1C
CCOC(=O)c1[nH]c(C)c(C(=O)Nc2cc(C3CCCCN3C(=O)OC(C)(C)C)n[nH]2)c1C
Cc1nc(N)nc(C)c1CC(=O)N1(C(=O)OC(C)(C)C)CCC(CC2(C(N)=O)CCCN2)CC1
Cc1nc(N)nc(C)c1CC(=O)NC(=O)C1(CC2CCN(C(=O)OC(C)(C)C)CC2)CCCN1
Cc1nc(N)nc(C)c1CC(=O)N1CCCC1(CC1CCN(C(=O)OC(C)(C)C)CC1)C(N)=O
Cc1nc(N)nc(C)c1CC(=O)Nc1nccc(C2CCCNC2)n1
Cc1nc(N)nc(C)c1CC(=O)N1CCCC(c2ccnc(N)n2)C1
Cc1nc(N)nc(C)c1CC(=O)N1(C(=O)OC(C)(C)C)CCCCC1c1cc(N)[nH]n1
Cc1nc(N)nc(C)c1CC(=O)Nc1cc(C2CCCCN2C(=O)OC(C)(C)C)n[nH]1
